aluguel,area_quarto,zona
21.000,265 m² construídos3 quartos,sul
2.000,45 m² construídos1 quarto,sul
1.499,45 m² construídos1 quarto,sul
4.500,112 m² construídos3 quartos,sul
4.500,125 m² construídos3 quartos,sul
4.500,98 m² construídos3 quartos,sul
4.500,66 m² construídos2 quartos,sul
4.500,70 m² construídos2 quartos,sul
4.500,95 m² construídos3 quartos,sul
4.500,110 m² construídos3 quartos,sul
4.500,40 m² construídos1 quarto,sul
4.500,70 m² construídos2 quartos,sul
1.300,110 m² construídos4 quartos,sul
6.500,147 m² construídos3 quartos,sul
1.050,50 m² construídos2 quartos,sul
1.400,52 m² construídos2 quartos,sul
4.500,54 m² construídos2 quartos,sul
1.580,100 m² construídos2 quartos,sul
1.238,65 m² construídos2 quartos,sul
1.450,58 m² construídos2 quartos,sul
3.000,52 m² construídos2 quartos,sul
1.678,64 m² construídos2 quartos,sul
660,30 m² construídos1 quarto,sul
2.500,80 m² construídos3 quartos,sul
1.771,118 m² construídos2 quartos,sul
1.000,40 m² construídos2 quartos,sul
1.600,80 m² construídos2 quartos,sul
1.100,60 m² construídos2 quartos,sul
4.000,53 m² construídos2 quartos,sul
1.451,40 m² construídos1 quarto,sul
1.898,32 m² construídos1 quarto,sul
1.779,35 m² construídos1 quarto,sul
1.400,55 m² construídos2 quartos,sul
2.410,66 m² construídos2 quartos,sul
3.300,55 m² construídos1 quarto,sul
1.200,47 m² construídos2 quartos,sul
2.500,100 m² construídos3 quartos,sul
2.800,81 m² construídos2 quartos,sul
1.500,100 m² construídos1 quarto,sul
1.300,53 m² construídos2 quartos,sul
1.600,100 m² construídos2 quartos,sul
1.898,55 m² construídos2 quartos,sul
1.498,43 m² construídos1 quarto,sul
1.930,200 m² construídos3 quartos,sul
13.500,355 m² construídos3 quartos,sul
1.600,65 m² construídos3 quartos,sul
3.300,80 m² construídos2 quartos,sul
2.350,48 m² construídos2 quartos,sul
2.000,53 m² construídos2 quartos,sul
1.950,70 m² construídos2 quartos,sul
1.700,50 m² construídos2 quartos,sul
2.450,70 m² construídos3 quartos,sul
4.000,50 m² construídos1 quarto,sul
1.950,35 m² construídos1 quarto,sul
1.200,32 m² construídos1 quarto,sul
2.713,68 m² construídos2 quartos,sul
1.923,59 m² construídos2 quartos,sul
1.100,59 m² construídos1 quarto,sul
1.000,55 m² construídos2 quartos,sul
3.500,142 m² construídos3 quartos,sul
2.000,35 m² construídos1 quarto,sul
2.561,55 m² construídos2 quartos,sul
1.200,34 m² construídos1 quarto,sul
2.310,76 m² construídos3 quartos,sul
1.600,40 m² construídos1 quarto,sul
2.864,84 m² construídos2 quartos,sul
1.190,41 m² construídos1 quarto,sul
4.500,31 m² construídos1 quarto,sul
2.700,88 m² construídos2 quartos,sul
3.500,78 m² construídos2 quartos,sul
3.500,55 m² construídos2 quartos,sul
1.500,65 m² construídos2 quartos,sul
1.200,30 m² construídos1 quarto,sul
1.500,49 m² construídos2 quartos,sul
2.798,60 m² construídos2 quartos,sul
1.950,70 m² construídos2 quartos,sul
4.300,150 m² construídos2 quartos,sul
4.200,100 m² construídos3 quartos,sul
13.500,170 m² construídos3 quartos,sul
